timestamp,raw_score,coverage,p4h,p8h,actual4h,actual8h
2026-03-18T17:00:00+00:00,-0.007175,1.0,0.541822,0.605036,BEARISH,BEARISH
2026-03-19T17:00:00+00:00,0.026441,1.0,0.543097,0.604915,BULLISH,BULLISH
2026-03-20T17:00:00+00:00,0.01399,1.0,0.542625,0.60496,BEARISH,
2026-03-23T17:00:00+00:00,-0.363902,1.0,0.528257,0.606324,BULLISH,BEARISH
2026-03-24T17:00:00+00:00,-0.051095,1.0,0.540155,0.605195,BULLISH,BULLISH
2026-03-25T17:00:00+00:00,0.056948,1.0,0.544254,0.604804,BEARISH,BEARISH
2026-03-26T17:00:00+00:00,-0.403092,1.0,0.526764,0.606465,BEARISH,BEARISH
2026-03-27T17:00:00+00:00,-0.653071,1.0,0.517229,0.607367,BEARISH,
2026-03-30T17:00:00+00:00,-0.334083,1.0,0.529393,0.606216,BEARISH,BEARISH
2026-03-31T17:00:00+00:00,0.791809,1.0,0.571951,0.602146,BULLISH,BULLISH
2026-04-01T17:00:00+00:00,0.449574,1.0,0.559098,0.603385,BEARISH,BEARISH
2026-04-02T17:00:00+00:00,-0.330753,1.0,0.529519,0.606204,BULLISH,BULLISH
2026-04-06T17:00:00+00:00,-0.013374,1.0,0.541587,0.605058,BULLISH,NEUTRAL
2026-04-07T17:00:00+00:00,0.355749,1.0,0.555559,0.603724,BULLISH,BULLISH
2026-04-08T17:00:00+00:00,0.677609,1.0,0.567672,0.60256,BEARISH,BEARISH
2026-04-09T17:00:00+00:00,0.540778,1.0,0.562531,0.603055,BULLISH,BULLISH
2026-04-10T17:00:00+00:00,-0.085277,1.0,0.538857,0.605318,BULLISH,
2026-04-13T17:00:00+00:00,0.405484,1.0,0.557436,0.603544,BULLISH,BULLISH
2026-04-14T17:00:00+00:00,0.431533,1.0,0.558418,0.60345,BULLISH,BULLISH
2026-04-15T17:00:00+00:00,0.204325,1.0,0.549837,0.604272,BULLISH,BULLISH
2026-04-16T17:00:00+00:00,0.170645,1.0,0.548562,0.604394,NEUTRAL,BULLISH
2026-04-17T17:00:00+00:00,0.077093,1.0,0.545018,0.604732,BEARISH,
2026-04-20T17:00:00+00:00,0.067095,1.0,0.544639,0.604768,BULLISH,BULLISH
2026-04-21T17:00:00+00:00,-0.127504,1.0,0.537252,0.605471,BULLISH,BULLISH
2026-04-22T17:00:00+00:00,0.064817,1.0,0.544553,0.604776,BULLISH,BULLISH
2026-04-23T17:00:00+00:00,0.014404,1.0,0.542641,0.604958,BEARISH,BULLISH
2026-04-24T17:00:00+00:00,0.242086,1.0,0.551265,0.604135,BULLISH,
2026-04-27T17:00:00+00:00,0.284328,1.0,0.552862,0.603983,BULLISH,BULLISH
2026-04-28T17:00:00+00:00,-0.078978,1.0,0.539096,0.605295,BULLISH,BULLISH
2026-04-29T17:00:00+00:00,-0.3623,1.0,0.528318,0.606318,BEARISH,BULLISH
2026-04-30T17:00:00+00:00,-0.064023,1.0,0.539664,0.605241,BULLISH,BULLISH
2026-05-01T17:00:00+00:00,0.073573,1.0,0.544885,0.604744,BEARISH,
2026-05-04T17:00:00+00:00,-0.263739,1.0,0.532071,0.605962,BULLISH,BULLISH
2026-05-05T17:00:00+00:00,0.0017,1.0,0.542159,0.605004,BULLISH,BULLISH
2026-05-06T17:00:00+00:00,0.216688,1.0,0.550304,0.604227,BULLISH,BULLISH
2026-05-07T17:00:00+00:00,0.008642,1.0,0.542422,0.604979,BEARISH,BULLISH
2026-05-08T17:00:00+00:00,0.264955,1.0,0.552129,0.604053,BULLISH,
2026-05-11T17:00:00+00:00,0.139774,1.0,0.547393,0.604505,NEUTRAL,BEARISH
2026-05-12T17:00:00+00:00,-0.223488,1.0,0.533602,0.605817,BULLISH,BULLISH
2026-05-13T17:00:00+00:00,0.402482,1.0,0.557322,0.603555,BULLISH,BULLISH
2026-05-14T17:00:00+00:00,0.032534,1.0,0.543328,0.604893,BEARISH,BEARISH
2026-05-15T17:00:00+00:00,-0.084431,1.0,0.538889,0.605315,BEARISH,
