timestamp,predicted,bullish_probability,bearish_probability,confidence,score,regime,data_coverage,intelligence_coverage,entry_nq,entry_bar_end,entry_staleness_min,nq_4h,nq_8h,move_4h_pct,move_8h_pct,actual_4h,actual_8h,correct_4h,correct_8h,outcome_4h_bar_end,outcome_8h_bar_end,outcome_4h_staleness_min,outcome_8h_staleness_min,news,news_articles,news_kept,news_directional,news_evidence,news_polygon_articles,news_finnhub_articles,liquidity_signal,liquidity_direction,liquidity_conflict,liquidity_resolution,liquidity_contract,liquidity_evidence,earnings,earnings_evidence,earnings_released_events,earnings_released_symbols,earnings_upcoming_events,earnings_upcoming_symbols,earnings_upcoming_within_4h,earnings_upcoming_within_8h,earnings_upcoming_mega_weight,earnings_upcoming_semi_count,earnings_hours_to_next,earnings_catalyst_risk,earnings_future_eps_used,market_available,market_requested
2025-10-24T17:00:00+00:00,BULLISH,73.4,26.6,72.0,0.524,TREND,1.0,0.472,25551.5,2025-10-24 13:00:00-04:00,0.0,25509.25,,-0.16535232765199695,,BEARISH,,False,,2025-10-24 17:00:00-04:00,2025-10-24 17:00:00-04:00,0.0,240.0,0.5228878995692003,731,107,5,available,731,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,1.0,released_verified,1,INTC,0,,0,0,0,0,,False,False,20,20
2025-10-27T17:00:00+00:00,BULLISH,76.5,23.5,70.9,0.614,TREND,0.964,0.467,25913.75,2025-10-27 13:00:00-04:00,0.0,26003.75,25975.75,0.34730596690945925,0.23925522164873864,BULLISH,BULLISH,True,True,2025-10-27 17:00:00-04:00,2025-10-27 21:00:00-04:00,0.0,0.0,0.544617795871349,402,83,7,available,402,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-28T17:00:00+00:00,BULLISH,65.1,34.9,67.7,0.317,TRANSITION,0.964,0.467,26108.5,2025-10-28 13:00:00-04:00,0.0,26172.5,26175.0,0.24513089606833025,0.2547063216959994,BULLISH,BULLISH,True,True,2025-10-28 17:00:00-04:00,2025-10-28 21:00:00-04:00,0.0,0.0,0.48395045223484,539,108,9,available,539,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-29T17:00:00+00:00,BULLISH,65.9,34.1,68.0,0.336,TRANSITION,0.964,0.469,26254.25,2025-10-29 13:00:00-04:00,0.0,26221.0,26288.75,-0.12664616204995383,0.13140729596160622,BEARISH,BULLISH,False,True,2025-10-29 17:00:00-04:00,2025-10-29 21:00:00-04:00,0.0,0.0,0.5130672787528322,705,140,10,available,705,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,upcoming_verified_catalyst,0,,3,"ALPHABET,MSFT,META",3,3,0.27,0,3.03,True,False,20,20
2025-10-30T17:00:00+00:00,BEARISH,40.3,59.7,54.5,-0.2,TRANSITION,0.964,0.469,26073.25,2025-10-30 13:00:00-04:00,0.0,25882.75,26195.0,-0.7306338872215777,0.46695367857861986,BEARISH,BULLISH,True,False,2025-10-30 17:00:00-04:00,2025-10-30 21:00:00-04:00,0.0,0.0,0.5999999999999999,755,147,11,available,755,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,1.0,released_verified,3,"ALPHABET,MSFT,META",2,"AMZN,AAPL",2,2,0.17,0,3.217,True,False,20,20
2025-10-31T17:00:00+00:00,BULLISH,58.2,41.8,55.2,0.168,TRANSITION,1.0,0.472,25949.5,2025-10-31 13:00:00-04:00,0.0,26004.0,,0.21002331451473052,,BULLISH,,True,,2025-10-31 17:00:00-04:00,2025-10-31 17:00:00-04:00,0.0,240.0,0.54432324299198,750,137,11,available,750,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,1.0,released_verified,2,"AMZN,AAPL",0,,0,0,0,0,,False,False,20,20
2025-11-03T17:00:00+00:00,BEARISH,46.6,53.4,50.0,-0.068,BALANCED,0.964,0.467,26118.5,2025-11-03 12:00:00-05:00,0.0,26110.5,26013.75,-0.030629630338648853,-0.4010567222466834,NEUTRAL,BEARISH,False,True,2025-11-03 16:00:00-05:00,2025-11-03 20:00:00-05:00,0.0,0.0,0.4839441577972602,391,69,3,available,391,0,-1.0,BEARISH,LOW,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-11-04T17:00:00+00:00,BEARISH,38.5,61.5,52.3,-0.237,TRANSITION,0.964,0.469,25756.25,2025-11-04 12:00:00-05:00,0.0,25579.5,25410.25,-0.6862412035913613,-1.3433632613443338,BEARISH,BEARISH,True,True,2025-11-04 16:00:00-05:00,2025-11-04 20:00:00-05:00,0.0,0.0,0.20788489463730925,492,99,4,available,492,0,1.0,BULLISH,LOW,5m_massive_futures,NQZ5,available,,upcoming_verified_catalyst,0,,2,"SMCI,AMD",0,2,0.0,2,4.15,True,False,20,20
2025-11-05T17:00:00+00:00,BULLISH,66.4,33.6,66.7,0.347,TRANSITION,0.964,0.469,25774.25,2025-11-05 12:00:00-05:00,0.0,25740.75,25699.25,-0.12997468403542295,-0.2909880985867678,BEARISH,BEARISH,False,False,2025-11-05 16:00:00-05:00,2025-11-05 20:00:00-05:00,0.0,0.0,0.4547148313756709,628,121,5,available,628,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,0.0,released_verified,2,"SMCI,AMD",1,QCOM,0,1,0.0,1,4.02,True,False,20,20
2025-11-06T17:00:00+00:00,BEARISH,34.8,65.2,54.3,-0.321,TRANSITION,1.0,0.472,25220.5,2025-11-06 12:00:00-05:00,0.0,25259.0,25322.0,0.1526535952895462,0.4024503875815309,BULLISH,BULLISH,False,False,2025-11-06 16:00:00-05:00,2025-11-06 20:00:00-05:00,0.0,0.0,0.40151419168991564,615,105,4,available,615,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,1.0,released_verified,1,QCOM,0,,0,0,0,0,,False,False,20,20
